Year,County,Latitude,Longitude,Soybean,Corn,SeasonalPrep,SeasonalTmax,SeasonalTmin,SeasonalAvgTmax,SeasonalAvgTmin,WetDays,DaysA30,DaysB10,DaysB_2,GDD
1950,ADAMS,39.98784961,-91.18843677,1883,3699,481.0466667,35.02333333,-0.991666667,25.56462659,13.32479964,57,28,42,0,2708.500834
1951,ADAMS,39.98784961,-91.18843677,1883,4035,513.565,36.75166667,-2.735,25.90104736,14.24519126,66,42,39,1,2792.585834
1952,ADAMS,39.98784961,-91.18843677,1816,3968,496.3566667,38.96333333,-3.333333333,27.67220401,14.53313297,52,74,43,3,2917.2875
1953,ADAMS,39.98784961,-91.18843677,1513,3497,334.0233333,38.98166667,-3.941666667,28.36737705,14.76135701,47,86,44,2,2947.965001
1954,ADAMS,39.98784961,-91.18843677,1715,3094,622.6916667,43.95666667,0.105,28.1926867,15.8604918,67,82,35,0,3000.706667
1955,ADAMS,39.98784961,-91.18843677,1513,3632,666.6233333,38.51333333,3.438333333,28.18887067,15.70322404,55,72,27,0,2993.9225
1956,ADAMS,39.98784961,-91.18843677,1648,4035,421.8866667,40.05,-3.286666667,28.00969945,14.61326958,42,81,43,2,2964.523334
1957,ADAMS,39.98784961,-91.18843677,1614,4035,658.0183333,38.82333333,0.906666667,27.14224954,15.49537341,59,54,29,0,2945.368334
1958,ADAMS,39.98784961,-91.18843677,1883,4842,709.57,35.80833333,-0.803333333,25.97154827,14.41948087,67,40,37,0,2810.0875
1959,ADAMS,39.98784961,-91.18843677,1681,4170,487.4283333,36.10666667,0.553333333,27.2446357,15.78358834,66,80,31,0,2983.214167
1960,ADAMS,39.98784961,-91.18843677,1580,4035,593.1983333,37.20833333,0.91,26.95094718,15.12394353,55,50,29,0,2918.696667
1961,ADAMS,39.98784961,-91.18843677,1816,4708,867.155,34.86666667,-2.711666667,25.81467213,14.11476321,65,51,49,1,2782.133334
1962,ADAMS,39.98784961,-91.18843677,1849,5246,501.3416667,36.24666667,-1.74,27.80272313,15.89113843,58,66,21,0,3043.700834
1963,ADAMS,39.98784961,-91.18843677,1950,5515,432.8066667,38.04333333,-1.295,27.98604736,15.18781421,43,73,28,0,2974.838334
1964,ADAMS,39.98784961,-91.18843677,1883,5178,500.185,38.57166667,-2.716666667,27.35701275,14.96208561,56,61,38,1,2928.383334
1965,ADAMS,39.98784961,-91.18843677,1883,6120,683.595,35.885,0.893333333,26.40928051,14.84381603,68,44,35,0,2881.798334
1966,ADAMS,39.98784961,-91.18843677,1849,5178,578.0566667,39.66666667,-0.628333333,25.97771403,13.7785337,61,51,48,0,2737.350834
1967,ADAMS,39.98784961,-91.18843677,2186,6725,707.31,35.02666667,-2.261666667,24.69044627,12.95401639,71,33,51,1,2612.2925
1968,ADAMS,39.98784961,-91.18843677,2253,6523,692.35,34.99166667,0.371666667,26.02082878,14.34461749,60,55,41,0,2787.994167
1969,ADAMS,39.98784961,-91.18843677,1849,4977,873.2933333,35.695,-0.08,26.10405282,14.76699454,68,43,35,0,2847.595
1970,ADAMS,39.98784961,-91.18843677,2186,5313,1045.845,37.48333333,2.051666667,26.72184882,15.62340619,78,42,29,0,2953.499167
1971,ADAMS,39.98784961,-91.18843677,2219,6994,419.7783333,36.24833333,1.715,26.81303279,14.60202186,62,63,41,0,2875.860834
1972,ADAMS,39.98784961,-91.18843677,2253,7061,473.0416667,35.75333333,0.173333333,26.73978142,14.75493625,57,61,36,0,2856.449167
1973,ADAMS,39.98784961,-91.18843677,2018,6523,932.8583334,34.97666667,3.051666667,26.18089253,15.95493625,75,38,22,0,2940.020834
1974,ADAMS,39.98784961,-91.18843677,1614,5515,624.095,37.63,-1.705,25.39157559,13.82834244,68,38,45,0,2706.934167
1975,ADAMS,39.98784961,-91.18843677,2253,6389,598.4833333,37.335,1.248333333,27.12081056,15.13638433,65,70,32,0,2919.766667
1976,ADAMS,39.98784961,-91.18843677,2085,5716,457.41,37.085,0.341666667,26.66491803,13.61840619,46,56,43,0,2784.898334
1977,ADAMS,39.98784961,-91.18843677,2387,4170,794.6166667,37.51166667,0.728333333,27.05028233,14.93923497,73,54,28,0,2912.990834
1978,ADAMS,39.98784961,-91.18843677,2085,6591,644.8316667,35.30166667,0.978333333,26.05567395,14.0521949,70,60,50,0,2784.955
1979,ADAMS,39.98784961,-91.18843677,2556,8339,317.1,35.26833333,-2.66,26.44306011,13.49958106,45,53,51,2,2781.7225
1980,ADAMS,39.98784961,-91.18843677,2186,5515,518.4,39.35333333,0.743333333,27.89712204,14.83039162,53,73,43,0,2944.399167
1981,ADAMS,39.98784961,-91.18843677,2421,7801,881.92,35.13,1.545,25.25971767,13.98230419,76,25,45,0,2734.2325
1982,ADAMS,39.98784961,-91.18843677,2488,8339,647.5283333,34.63833333,-0.508333333,25.30643898,14.20271403,72,21,33,0,2740.195834
1983,ADAMS,39.98784961,-91.18843677,1547,3094,352.7616667,38.80333333,-3.133333333,27.22643898,14.50867031,52,77,46,2,2848.650834
1984,ADAMS,39.98784961,-91.18843677,1917,6927,593.5466667,37.91,0.671666667,26.02959016,14.11087432,56,54,44,0,2791.538334
1985,ADAMS,39.98784961,-91.18843677,2623,9146,619.1733333,34.06833333,0.708333333,25.78346084,14.24570128,68,36,31,0,2773.7575
1986,ADAMS,39.98784961,-91.18843677,2455,9079,848.3466667,34.89833333,-1.865,26.6204918,15.14351548,74,47,35,0,2930.023334
1987,ADAMS,39.98784961,-91.18843677,2488,8877,502.2466667,38.08333333,-1.686666667,27.78199454,15.1153643,57,70,33,0,2980.440834
1988,ADAMS,39.98784961,-91.18843677,1816,5111,241.5883333,38.73833333,0.431666667,28.02249545,13.89777778,29,78,44,0,2892.2575
1989,ADAMS,39.98784961,-91.18843677,1950,5246,430.2683333,36.995,0.83,26.15103825,13.82846084,56,47,48,0,2786.5975
